state,year,month,blood_type,donations
Kelantan,2021,10,o,450
Kelantan,2021,11,a,280
Kelantan,2021,11,ab,84
Kelantan,2021,11,all,1027
Kelantan,2021,11,b,267
Kelantan,2021,11,o,396
Kelantan,2021,12,a,330
Kelantan,2021,12,ab,92
Kelantan,2021,12,all,1341
Kelantan,2021,12,b,360
Kelantan,2021,12,o,559
Kelantan,2022,1,a,244
Kelantan,2022,1,ab,80
Kelantan,2022,1,all,984
Kelantan,2022,1,b,252
Kelantan,2022,1,o,408
Kelantan,2022,2,a,214
Kelantan,2022,2,ab,49
Kelantan,2022,2,all,797
Kelantan,2022,2,b,183
Kelantan,2022,2,o,351
Kelantan,2022,3,a,350
Kelantan,2022,3,ab,79
Kelantan,2022,3,all,1316
Kelantan,2022,3,b,327
Kelantan,2022,3,o,560
Kelantan,2022,4,a,270
Kelantan,2022,4,ab,58
Kelantan,2022,4,all,968
Kelantan,2022,4,b,262
Kelantan,2022,4,o,378
Kelantan,2022,5,a,369
Kelantan,2022,5,ab,104
Kelantan,2022,5,all,1410
Kelantan,2022,5,b,353
Kelantan,2022,5,o,584
Kelantan,2022,6,a,346
Kelantan,2022,6,ab,81
Kelantan,2022,6,all,1342
Kelantan,2022,6,b,342
Kelantan,2022,6,o,573
Kelantan,2022,7,a,411
Kelantan,2022,7,ab,97
Kelantan,2022,7,all,1484
Kelantan,2022,7,b,384
Kelantan,2022,7,o,592
Kelantan,2022,8,a,345
Kelantan,2022,8,ab,91
Kelantan,2022,8,all,1244
Kelantan,2022,8,b,314
Kelantan,2022,8,o,493
Kelantan,2022,9,a,356
Kelantan,2022,9,ab,87
Kelantan,2022,9,all,1209
Kelantan,2022,9,b,297
Kelantan,2022,9,o,469
Kelantan,2022,10,a,402
Kelantan,2022,10,ab,102
Kelantan,2022,10,all,1476
Kelantan,2022,10,b,369
Kelantan,2022,10,o,603
Kelantan,2022,11,a,370
Kelantan,2022,11,ab,97
Kelantan,2022,11,all,1511
Kelantan,2022,11,b,400
Kelantan,2022,11,o,644
Kelantan,2022,12,a,365
Kelantan,2022,12,ab,85
Kelantan,2022,12,all,1319
Kelantan,2022,12,b,355
Kelantan,2022,12,o,514
Kelantan,2023,1,a,368
Kelantan,2023,1,ab,82
Kelantan,2023,1,all,1308
Kelantan,2023,1,b,364
Kelantan,2023,1,o,494
Kelantan,2023,2,a,372
Kelantan,2023,2,ab,103
Kelantan,2023,2,all,1439
Kelantan,2023,2,b,391
Kelantan,2023,2,o,573
Kelantan,2023,3,a,515
Kelantan,2023,3,ab,107
Kelantan,2023,3,all,1959
Kelantan,2023,3,b,556
Kelantan,2023,3,o,781
Kelantan,2023,4,a,282
Kelantan,2023,4,ab,60
Kelantan,2023,4,all,1028
Kelantan,2023,4,b,281
Kelantan,2023,4,o,405
Kelantan,2023,5,a,373
Kelantan,2023,5,ab,110
Kelantan,2023,5,all,1408
Kelantan,2023,5,b,365
Kelantan,2023,5,o,560
Kelantan,2023,6,a,477
Kelantan,2023,6,ab,109
Kelantan,2023,6,all,1744
Kelantan,2023,6,b,470
Kelantan,2023,6,o,688
Kelantan,2023,7,a,308
Kelantan,2023,7,ab,91
Kelantan,2023,7,all,1253
Kelantan,2023,7,b,341
Kelantan,2023,7,o,513
